S.no.,Team,Project ,Location,Awarded ,Amount,Project date ,Allocated person,Organisation ,Status
68,Team A,Construction of secondary access road (0.75 Km) for emergencies and VIPs exit for Noida International Airport YEIDA of 30m wide peripheral road from point H-E-D1-C (8.00 Km) along Northern and Eastern side boundary wall of Airport on item rate basis,Uttar Pradesh,apco infratech pvt ltd,239.8,,Ravi,NHAI,Contacted
69,Team A,Construction Of Major Underpass (by Diaphragm Wall Technology) Under Noida Greater Noida Expressway At Ch. 6.10 Km.,Uttar Pradesh,c s infraconstruction limited,72,,Ravi,NOIDA,Contacted
70,Team A,"Construction of Lateral & Axial Roads in the state of Punjab & Rajasthan along the Indo-Pakistan Border. (SH:- Lateral & Axial road, Jaisalmer North Sector, package - II) including 5 years maintenance (On EPC Mode-I).<br><b>Subwork/Packages:</b>Lateral & Axial road, Jaisalmer North Sector, package - II) including 5 years maintenance (On EPC Mode-I).",New Delhi,M/S HEERA RAM GODARA,95.00 Cr,,Ravi,CPWD,Contacted
71,Team A,"Comprehensive conservation, retrofitting and setting up of Utility Building in South Block, New Delhi, Phase-I.<br><b>Subwork/Packages:</b>Comprehensive conservation, retrofitting and setting up of Utility Building in South Block, New Delhi, Phase-I.",New Delhi,VRC Constructions (India) Limited,253.69 Cr,,Ravi,CPWD,Contacted
72,Team A,"Balance work of construction of Headquarters Building (03 Basement, Ground, Eleven Floors) for CRPF (Composite Structure) on EPC basis at CGO Complex, New Delhi. SH:- Civil Works including Internal Water Supply and Sanitary Installations, Sewerage System, Drainage and Development of Site, Electrical Works including Internal Electrical Installations, Fire Fighting, Fire Alarm System, Air Conditioning, Lifts, STP, Substation, DG Sets, CCTV, Access Control System and Solar Photovoltaic Power Generation System and SOlar Heating System, Audio Video System, IBMS System, LAN etc, External Development Works, Horticulture Works and Other Misc. Works.",New Delhi,GIRDHARI LAL CONSTRUCTIONS PVT. LTD.,165.13 Cr,,Ravi,CPWD,Contacted
73,Team A,Construction of Academic Block (G Plus 4) and Hostel Block (GPlus 5) including allied services at IIMC New Delhi.<br><b>Subwork/Packages:</b>Construction of Academic Block (G plus 4) and Hostel Block (G plus 5) including allied services at IIMC New Delhi,New Delhi,Parinita Infratech LLP,60.42 Cr,,Ravi,CPWD,Contacted
74,Team A,"Development of Rashtrapati Upvan into a Public Part at Dehradun. (SH: Civil, Electrical and Horticulture Work)",New Delhi,KBG ENGINEERS,164.34 Cr,,Ravi,CPWD,Contacted
75,Team A,"Redevelopment Of General Pool Residential Colony At Sriniwaspuri (package-1), New Delhi - Construction Of 3112 Nos. Type-iii Residential Units Including Single Basement, Stilt And Three Level Podium Parking, 1 No. Multi-level Car Parking, Community Centre And Cghs Dispensary Including All Development Works And Services On Epc (mode-i) Basis Including Comprehensive Maintenance & Operation Of Service For 1825 Days After Completion Of Original Construction Work.",New Delhi,M/s. D. E. C. Infrastructure and Projects (India) Private Limited,1987.09 Cr,,Ravi,CPWD,Contacted
76,Team A,"Construction of Common Central Secretariat Building 6 & 7 in Plot No. 22B & C, Maulana Azad Road, New Delhi.",New Delhi,Larsen & Toubro Limited,2198.44 Cr,,Ravi,CPWD,Contacted
77,Team A,"Construction of Central Ayurveda Research Institute at FC-5, Block - A, Sector -28 Rohini New Delhi (SH:- Planning, Design and Construction of Central Ayurveda Research Institute Building consisting of 2 Basements, Administrative Block ( G Plus 3 floors), Treatment Block (G Plus 3 floors), OPD Block (G Plus 3 floors) and IPD Block (G Plus 6 floors), Corner Block (G Plus 1 floors) including all Civil, E&M, Plumbing , Horticulture and Development works on EPC Mode -1 Basis ( Design & Build).",New Delhi,M/S B L INFRA PROJECTS PRIVATE LIMITED,124.70 Cr,,Ravi,CPWD,Contacted
78,Team A,"Construction of steel structure non-residential buildings using pre-engineered construction technology including development of areas and all services complete in all respect including maintenance for five years on EPC basis at KG Marg (near Asia House) and Africa Avenue (near Sarojini Nagar depot), New Delhi. SH: Construction and installation of fully automatic multilevel car parking system<br><b>Subwork/Packages:</b>Construction and installation of fully automatic multilevel car parking system.",New Delhi,GLOBE CIVIL PROJECTS PRIVATE LIMITED,103.39 Cr,,Ravi,CPWD,Contacted
79,Team A,Construction of Four Lane Highway from Gazipur-Ballia UP-Bihar State Border (Greenfield) section of NH-31 Package-I from Hridaipur (km 0.000) to Shahapur (km 42.500) on EPC Mode in the state of Uttar Pradesh,Bihar,Ravi Infrabuild Projects Pvt. Ltd.,621.00 Cr,,Rishabh,NHAI,Contacted
80,Team A,Development of 6lane GF Ring Road(PckgIII) starts from 51.200 to 68.650(Length 17.450kms) around Kanpur City and Construction of 4lane Airport link road(Length 1.45 km) at 62.090 of Kanpur ring road in UP on EPC mode,Uttar Pradesh,HILLWAYS CONSTRUCTION COMPANY PVT LTD,612.50 Cr,07 Aug 2025,Rishabh,NHAI,Contacted
81,Team A,Road Safety Improvement of existing four lane section of Muzaffarnagar-Haridwar Section of NH-334 on EPC Mode in the state of Uttar Pradesh and Uttarakhand under NH(O),Uttar Pradesh,M/S HIMALAYAN CONSTRUCTION,119.27 Cr,17 Sep 2024,Rishabh,NHAI,Contacted
82,Team A,"6L Access Controlled Greenfield Highway from Yerragudipadu (Ch. 129+000) to Audireddipalle (Ch. 160+000) of [NH – 544G]
 (Package-6)",Andhra Pradesh,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),12-02-2024,Rishabh,NHAI,Contacted
83,Team A,"6L Access Controlled Greenfield Highway from Nallacheruvu palli (Ch. 96+300) to Yerragudipadu (Ch. 129+000) of [NH-544G]
 (Package-5)",Andhra Pradesh,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),12-02-2024,Rishabh,NHAI,Contacted
84,Team A,"6L Access Controlled Greenfield Highway from Odulapalle (Ch. 72+000) to Nallacheruvu-palli (Ch. 96+300) of [NH-
 544G](Package-4)",Andhra Pradesh,Dilip Buildcon Ltd.,Big as greenfield project  (to be researched),05-02-2024,Rishabh,NHAI,Contacted
85,Team A,"6L Access Controlled Greenfield Highway from Narayanmpet (Ch. 203+500) to Chandrasekharpuram (Ch.
 228+000)(Package-10)",Andhra Pradesh,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),12-02-2024,Rishabh,NHAI,Contacted
86,Team A,6L Access Controlled Greenfield Highway from Kavulakuntla (Ch. 196+000) to Narayanmpet (Ch. 203+500)(Package-09),Andhra Pradesh,Max Infra (I) Private Limited,Big as greenfield project  (to be researched),07-02-2025,Rishabh,NHAI,Contacted
87,Team A,6L Access Controlled Greenfield Highway from Mallapalle (Ch. 176+000) to Kavulakuntla (Ch. 196+000) (Package-08),Andhra Pradesh,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),12-02-2024,Rishabh,NHAI,Contacted
88,Team A,6L Access Controlled Greenfield Highway from Audireddipalle (Ch. 160+000) to Mallapalle (Ch. 176+000)(Package-07),Andhra Pradesh,Dilip Buildcon Ltd.,Big as greenfield project  (to be researched),07-03-2024,Rishabh,NHAI,Contacted
89,Team A,6L Access Controlled Greenfield Highway from Polavaram (Ch. 260+000) to Marripudi (Ch. 285+500) of [NH-544G](Package-12),Andhra Pradesh,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),12-02-2024,Rishabh,NHAI,Contacted
90,Team A,"6L Access Controlled Greenfield Highway from Chandrasekharapuram (Ch. 228+000) to Polavaram (Ch. 260+000)of [NH-544G]
 (Package-11)",Andhra Pradesh,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),12-02-2024,Rishabh,NHAI,Contacted
91,Team A,"6L Access Controlled Greenfield Highway from Somavarappadu (Ch.314.600) to Muppavaram (Ch.343+240) of [NH-544G]
 (Package-14)",Andhra Pradesh,Megha Engineering and Infrastructure Ltd.,Big as greenfield project  (to be researched),12-02-2024,Rishabh,NHAI,Contacted
92,Team A,"6L Access Controlled Greenfield Highway from Marripudi (Ch. 285+500) to Somavarappadu (Ch. 314+600) of [NH-544G]
 (Package-13)",Andhra Pradesh,KNR Constructions Limited,Big as greenfield project  (to be researched),10-02-2024,Rishabh,NHAI,Contacted
